Word,Vowel,Timeinterval,F1,F2,F3,F4,Speaker,Language
knee,i,90,231.4,2157,2961.7,3511.5,20,L1English
may,ei,10,672.1,2366.1,2921.7,4072.7,12,L1English
may,ei,20,701.5,2378.1,2892.7,4017.5,12,L1English
may,ei,30,684.2,2460.4,3012.2,4032.3,12,L1English
may,ei,40,620.1,2395,2779.2,4093.5,12,L1English
may,ei,50,547.7,2490.4,2519.3,3631.6,12,L1English
may,ei,60,532,2233.2,2968.6,4030.5,12,L1English
may,ei,70,496.7,2576.5,2952.8,4139.9,12,L1English
may,ei,80,470.1,2587.8,2936.5,3175.7,12,L1English
may,ei,90,454.2,2556.6,2873.7,4432.5,12,L1English
may,ei,10,534.2,1958.7,2747.4,3394.8,13,L1English
may,ei,20,537.3,2000.8,2745.6,3394.2,13,L1English
may,ei,30,528.6,2044.2,2771.8,3417.5,13,L1English
may,ei,40,508,2074.5,2705.2,3394.5,13,L1English
may,ei,50,460,2138.5,2698.3,3439,13,L1English
may,ei,60,421.9,2227.6,2704,3028.7,13,L1English
may,ei,70,365.4,2317,2386,2772.1,13,L1English
may,ei,80,335.6,2352.4,2371.5,2709.9,13,L1English
may,ei,90,342.4,2327.5,2679.2,3515.9,13,L1English
may,ei,10,518.8,2168.8,2715.6,3747.7,15,L1English
may,ei,20,540.3,2203.5,2800.2,3820.5,15,L1English
may,ei,30,532.9,2211.5,2802.1,3905.6,15,L1English
may,ei,40,524.3,2224.3,2802.9,3899.9,15,L1English
may,ei,50,497.8,2258.3,2817.2,3378.9,15,L1English
may,ei,60,479.1,2319.8,2859.7,3981.1,15,L1English
may,ei,70,468.8,2390.7,2848.5,3961.3,15,L1English
may,ei,80,392.8,2442.4,2885.4,3978.9,15,L1English
may,ei,90,235.8,2378.5,2949.2,4042.7,15,L1English
may,ei,10,471.8,2079.5,2916.4,3502,19,L1English
may,ei,20,527.2,2142.7,2842.7,3465.8,19,L1English
may,ei,30,523.3,2144.6,2913.3,3443.1,19,L1English
may,ei,40,522.6,2202.6,2895.2,3536,19,L1English
may,ei,50,488.3,2244.6,2922.4,3595.3,19,L1English
may,ei,60,447.6,2301.3,2779.7,3232.5,19,L1English
may,ei,70,425.4,2324,2494.9,3005.3,19,L1English
may,ei,80,410.9,2370.8,2741.1,3080.9,19,L1English
may,ei,90,387.8,2308.9,3034.8,3897.2,19,L1English
may,ei,10,460.1,1766.6,2413.7,3343.3,20,L1English
may,ei,20,443.2,1858.4,2515.1,3391.8,20,L1English
may,ei,30,409.4,1895.5,2527.1,3378.5,20,L1English
may,ei,40,364.7,1949.5,2542.5,3319.8,20,L1English
may,ei,50,349.4,2003.6,2619.9,3348.8,20,L1English
may,ei,60,315.1,2017.9,2648.8,3321.3,20,L1English
may,ei,70,283.2,2078.3,2706.1,3307.1,20,L1English
may,ei,80,275.3,2042.7,2680.3,3303.9,20,L1English
may,ei,90,279.5,2021.3,2633.5,3346.4,20,L1English
pah,a,10,755.2,1220.6,3033.8,3768.5,12,L1English
pah,a,20,797.7,1266.1,3002.3,3765.6,12,L1English
pah,a,30,808.1,1273.8,2533.4,4248.7,12,L1English
pah,a,40,870.3,1276.9,2673.7,4344.8,12,L1English
pah,a,50,873,1323.9,3026.1,4120.4,12,L1English
pah,a,60,822.1,1253.3,3138.8,4225.4,12,L1English
pah,a,70,602.9,1235,2966.9,3746.6,12,L1English
pah,a,80,516.1,1360.3,3065.4,4012.9,12,L1English
pah,a,90,1313.2,1444.8,3224.4,4077.2,12,L1English
pah,a,10,684.6,1135.7,2419.4,3545.4,13,L1English
pah,a,20,693.4,1138.8,2524.9,3544.3,13,L1English
pah,a,30,691.6,1132.1,2472.9,3517.6,13,L1English
pah,a,40,687.9,1127.8,2442.2,3487.7,13,L1English
pah,a,50,688.8,1128.8,2512.3,3552.1,13,L1English
pah,a,60,691.1,1128.7,2547.8,3611.9,13,L1English
pah,a,70,674,1124.6,2470.3,3612.8,13,L1English
pah,a,80,654.5,1143.2,2411.7,3662.6,13,L1English
pah,a,90,668.3,1185.4,2549,3822.7,13,L1English
pah,a,10,774.8,1212.7,2456.9,3650.7,15,L1English
pah,a,20,774.5,1206.1,2448.9,3627.7,15,L1English
pah,a,30,768.4,1220.2,2414.2,3644.8,15,L1English
pah,a,40,766.8,1240,2394.8,3765.1,15,L1English
pah,a,50,751.7,1237.1,2414.1,3826.2,15,L1English
pah,a,60,745.1,1251.8,2510,3825,15,L1English
pah,a,70,744.8,1257.5,2428.1,3727.1,15,L1English
pah,a,80,770.3,1255.1,2353.1,3660.4,15,L1English
pah,a,90,642.9,1178.9,2440.2,3592.5,15,L1English
pah,a,10,648.8,1146,2532.2,2979.2,19,L1English
pah,a,20,672.8,1131.9,2747.9,2885.5,19,L1English
pah,a,30,667,1126.4,2555.9,2710.7,19,L1English
pah,a,40,650.4,1105.2,2528.4,2817.5,19,L1English
pah,a,50,656,1105.5,2302.6,3069.9,19,L1English
pah,a,60,667.1,1196.1,2735.6,3742.6,19,L1English
pah,a,70,627.7,1264,1694.2,3070.1,19,L1English
pah,a,80,552.8,1297.7,2758.5,3227.9,19,L1English
pah,a,90,469.9,1332.5,2647.5,2960.7,19,L1English
pah,a,10,667.8,1050.8,2668,3506.9,20,L1English
pah,a,20,658.1,1063.7,2672.7,3527.3,20,L1English
pah,a,30,659.5,1068.6,2670.4,3529.3,20,L1English
pah,a,40,654.4,1072.6,2660.6,3523.9,20,L1English
pah,a,50,653.2,1086,2648,3564.8,20,L1English
pah,a,60,647.2,1073.3,2606.1,3549.5,20,L1English
pah,a,70,651.3,1097.9,2594.4,3542,20,L1English
